ID,TEAM,GP,W,L,PTS,REB,AST,TOV,STL,BLK,+/-
ATL,Atlanta Hawks,67,20,47,111.8,43.3,24.0,16.2,7.8,5.1,-8.0
BOS,Boston Celtics,72,48,24,113.7,46.1,23.0,13.8,8.3,5.6,6.3
BKN,Brooklyn Nets,72,35,37,111.8,47.9,24.5,15.3,6.4,4.5,-0.6
CHA,Charlotte Hornets,65,23,42,102.9,42.8,23.8,14.6,6.6,4.1,-6.8
CHI,Chicago Bulls,65,22,43,106.8,41.9,23.2,15.5,10.0,4.1,-3.1
CLE,Cleveland Cavaliers,65,19,46,106.9,44.2,23.1,16.5,6.9,3.2,-7.9
DAL,Dallas Mavericks,75,43,32,117.0,46.9,24.7,12.7,6.1,4.8,4.9
DEN,Denver Nuggets,73,46,27,111.3,44.1,26.7,13.8,8.0,4.6,2.1
DET,Detroit Pistons,66,20,46,107.2,41.7,24.1,15.3,7.4,4.5,-3.6
GSW,Golden State Warriors,65,15,50,106.3,42.8,25.6,14.9,8.2,4.6,-8.7
HOU,Houston Rockets,72,44,28,117.8,44.3,21.6,14.7,8.7,5.2,3.0
IND,Indiana Pacers,73,45,28,109.4,42.8,25.9,13.2,7.4,5.2,2.0
LAC,LA Clippers,72,49,23,116.3,47.7,23.7,14.6,7.1,4.7,6.4
LAL,Los Angeles Lakers,71,52,19,113.4,45.7,25.4,15.2,8.6,6.6,5.8
MEM,Memphis Grizzlies,73,34,39,112.6,46.5,26.9,15.2,7.9,5.5,-1.1
MIA,Miami Heat,73,44,29,112.0,44.4,25.9,14.9,7.5,4.5,2.9
MIL,Milwaukee Bucks,73,56,17,118.7,51.7,25.9,15.1,7.2,5.9,10.1
MIN,Minnesota Timberwolves,64,19,45,113.3,44.8,23.8,15.3,8.7,5.7,-4.3
NOP,New Orleans Pelicans,72,30,42,115.8,46.5,26.8,16.4,7.5,5.0,-1.3
NYK,New York Knicks,66,21,45,105.8,46.5,22.1,14.3,7.6,4.7,-6.5
OKC,Oklahoma City Thunder,72,44,28,110.4,42.9,21.7,13.7,7.6,4.9,2.0
ORL,Orlando Magic,73,33,40,107.3,44.5,23.9,12.8,8.2,5.4,-1.0
PHI,Philadelphia 76ers,73,43,30,110.7,45.4,25.8,14.2,8.0,5.3,2.4
PHX,Phoenix Suns,73,34,39,113.6,43.5,27.2,14.8,7.7,4.0,0.2
POR,Portland Trail Blazers,74,35,39,115.0,45.3,20.6,12.8,6.3,6.1,-1.1
SAC,Sacramento Kings,72,31,41,110.1,42.6,23.8,14.5,7.7,4.1,-2.0
SAS,San Antonio Spurs,71,32,39,114.1,44.6,24.7,12.6,7.3,5.5,-1.1
TOR,Toronto Raptors,72,53,19,112.8,45.4,25.2,14.8,8.8,5.0,6.2
UTA,Utah Jazz,72,44,28,111.3,44.9,22.4,15.1,6.1,4.1,2.5
WAS,Washington Wizards,72,25,47,114.4,42.0,25.0,14.2,8.0,4.3,-4.7
