Head coach,ID,Team,število let pri ekipi,število let trener,zmage v karieri,porazi v karieri
Nate McMillan,ATL,Atlanta Hawks,2,18,731,638
Ime Udoka,BOS,Boston Celtics,1,1,51,31
Steve Nash,BKN,Brooklyn Nets,2,2,92,62
James Borrego,CHA,Charlotte Hornets,2,7,320,234
Billy Donovan,CHI,Chicago Bulls,4,5,148,183
J. B. Bickerstaff,CLE,Cleveland Cavaliers,3,6,156,225
Jason Kidd,DAL,Dallas Mavericks,1,6,235,220
Michael Malone,DEN,Denver Nuggets,7,9,353,308
Dwane Casey,DET,Detroit Pistons,4,13,477,505
Steve Kerr,GSW,Golden State Warriors,8,8,429,200
Stephen Silas,HOU,Houston Rockets,2,2,37,117
Rick Carlisle,IND,Indiana Pacers,5,20,861,746
Tyronn Lue,LAC,Los Angeles Clippers,2,6,217,148
Frank Vogel,LAL,Los Angeles Lakers,3,11,431,389
Taylor Jenkins,MEM,Memphis Grizzlies,3,3,128,99
Erik Spoelstra,MIA,Miami Heat,14,14,660,453
Mike Budenholzer,MIL,Milwaukee Bucks,4,9,426,293
Chris Finch,MIN,Minnesota Timberwolves,2,2,62,61
Willie Green,NOP,New Orleans Pelicans,1,1,36,46
Tom Thibodeau,NYK,New York Knicks,2,10,430,322
Mark Daigneault,OKC,Oklahoma City Thunder,2,2,46,108
Jamahl Mosley,ORL,Orlando Magic,1,1,22,60
Doc Rivers,PHI,Philadelphia 76ers,2,23,1043,735
Monty Williams,PHX,Phoenix Suns,3,8,322,299
Chauncey Billups,POR,Portland Trail Blazers,1,1,27,55
Luke Walton,SAC,Sacramento Kings,3,6,166,241
Gregg Popovich,SAS,San Antonio Spurs,26,26,1344,701
Nick Nurse,TOR,Toronto Raptors,4,4,186,122
Quin Snyder,UTA,Utah Jazz,8,8,372,264
Wes Unseld Jr.,WAS,Washington Wizards,1,1,35,47
