Head coach,Team,število let pri ekipi,število let trener,zmage v karieri,porazi v karieri
Nate McMillan,Atlanta Hawks,2,18,731,638
Ime Udoka,Boston Celtics,1,1,51,31
Steve Nash,Brooklyn Nets,2,2,92,62
James Borrego,Charlotte Hornets,2,7,320,234
Billy Donovan,Chicago Bulls,4,5,148,183
J. B. Bickerstaff,Cleveland Cavaliers,3,6,156,225
Jason Kidd,Dallas Mavericks,1,6,235,220
Michael Malone,Denver Nuggets,7,9,353,308
Dwane Casey,Detroit Pistons,4,13,477,505
Steve Kerr,Golden State Warriors,8,8,429,200
Stephen Silas,Houston Rockets,2,2,37,117
Rick Carlisle,Indiana Pacers,5,20,861,746
Tyronn Lue,Los Angeles Clippers,2,6,217,148
Frank Vogel,Los Angeles Lakers,3,11,431,389
Taylor Jenkins,Memphis Grizzlies,3,3,128,99
Erik Spoelstra,Miami Heat,14,14,660,453
Mike Budenholzer,Milwaukee Bucks,4,9,426,293
Chris Finch,Minnesota Timberwolves,2,2,62,61
Willie Green,New Orleans Pelicans,1,1,36,46
Tom Thibodeau,New York Knicks,2,10,430,322
Mark Daigneault,Oklahoma City Thunder,2,2,46,108
Jamahl Mosley,Orlando Magic,1,1,22,60
Doc Rivers,Philadelphia 76ers,2,23,1043,735
Monty Williams,Phoenix Suns,3,8,322,299
Chauncey Billups,Portland Trail Blazers,1,1,27,55
Luke Walton,Sacramento Kings,3,6,166,241
Gregg Popovich,San Antonio Spurs,1,18,534,636
Nick Nurse,Toronto Raptors,26,26,1344,701
Quin Snyder,Utah Jazz,4,4,186,122
Wes Unseld Jr.,Washington Wizards,8,8,372,264
,,1,1,35,47
